




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K9ac_K562.intersect_with_DeepZ.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K9ac_K562.intersect_with_DeepZ.genes_uniq.txt (8259)	H3K9ac_K562.intersect_with_DeepZ.genes_uniq.txt (expected)	H3K9ac_K562.intersect_with_DeepZ.genes_uniq.txt (over/under)	H3K9ac_K562.intersect_with_DeepZ.genes_uniq.txt (fold Enrichment)	H3K9ac_K562.intersect_with_DeepZ.genes_uniq.txt (raw P-value)	H3K9ac_K562.intersect_with_DeepZ.genes_uniq.txt (FDR)
primary metabolic process (GO:0044238)	7352	3504	2948.30	+	1.19	2.58E-26	2.72E-23
sensory perception (GO:0007600)	979	181	392.60	-	.46	4.17E-26	3.87E-23
negative regulation of cellular process (GO:0048523)	4902	2467	1965.80	+	1.25	4.13E-26	4.08E-23
adaptive immune response (GO:0002250)	658	97	263.87	-	.37	1.96E-25	1.72E-22
regulation of macromolecule metabolic process (GO:0060255)	6340	3067	2542.46	+	1.21	5.15E-25	4.29E-22
cellular macromolecule metabolic process (GO:0044260)	4909	2456	1968.61	+	1.25	8.12E-25	5.83E-22
Unclassified (UNCLASSIFIED)	2744	748	1100.40	-	.68	8.05E-25	6.06E-22
biological_process (GO:0008150)	17851	7511	7158.60	+	1.05	8.05E-25	6.36E-22
cellular process (GO:0009987)	15495	6674	6213.80	+	1.07	1.06E-24	7.29E-22
metabolic process (GO:0008152)	8313	3878	3333.68	+	1.16	1.78E-24	1.17E-21
nitrogen compound metabolic process (GO:0006807)	6886	3282	2761.42	+	1.19	7.71E-24	4.88E-21
positive regulation of nitrogen compound metabolic process (GO:0051173)	3123	1659	1252.38	+	1.32	1.30E-23	7.64E-21
positive regulation of biological process (GO:0048518)	6331	3047	2538.86	+	1.20	1.27E-23	7.74E-21
positive regulation of cellular metabolic process (GO:0031325)	3314	1741	1328.98	+	1.31	2.98E-23	1.68E-20
cellular component organization or biogenesis (GO:0071840)	6006	2904	2408.52	+	1.21	4.08E-23	2.23E-20
organic substance metabolic process (GO:0071704)	7840	3663	3143.99	+	1.17	9.16E-23	4.82E-20
cellular component organization (GO:0016043)	5783	2804	2319.10	+	1.21	1.39E-22	7.10E-20
positive regulation of metabolic process (GO:0009893)	3820	1956	1531.90	+	1.28	2.29E-22	1.13E-19
negative regulation of biological process (GO:0048519)	5501	2678	2206.01	+	1.21	4.48E-22	2.15E-19
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4049	2049	1623.73	+	1.26	1.12E-21	5.20E-19
positive regulation of macromolecule metabolic process (GO:0010604)	3522	1816	1412.39	+	1.29	1.46E-21	6.60E-19
regulation of cellular biosynthetic process (GO:0031326)	4163	2090	1669.44	+	1.25	6.45E-21	2.83E-18
regulation of biosynthetic process (GO:0009889)	4226	2116	1694.71	+	1.25	8.73E-21	3.73E-18
macromolecule metabolic process (GO:0043170)	6151	2935	2466.67	+	1.19	1.22E-20	5.07E-18
regulation of macromolecule biosynthetic process (GO:0010556)	3999	2015	1603.68	+	1.26	1.30E-20	5.28E-18
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3968	1999	1591.25	+	1.26	2.15E-20	8.51E-18
regulation of signaling (GO:0023051)	3545	1810	1421.61	+	1.27	4.62E-20	1.78E-17
regulation of RNA metabolic process (GO:0051252)	3782	1910	1516.66	+	1.26	1.13E-19	4.25E-17
regulation of cellular process (GO:0050794)	11351	5034	4551.97	+	1.11	1.28E-19	4.72E-17
regulation of cell communication (GO:0010646)	3509	1788	1407.18	+	1.27	1.77E-19	6.37E-17
regulation of cellular component organization (GO:0051128)	2390	1284	958.44	+	1.34	4.50E-19	1.58E-16
biological regulation (GO:0065007)	12568	5496	5040.02	+	1.09	1.46E-18	4.90E-16
regulation of biological process (GO:0050789)	11898	5235	4771.33	+	1.10	1.43E-18	4.91E-16
complement activation (GO:0006956)	177	7	70.98	-	.10	3.31E-18	1.09E-15
humoral immune response (GO:0006959)	386	50	154.79	-	.32	6.16E-18	1.99E-15
cellular protein metabolic process (GO:0044267)	3590	1803	1439.66	+	1.25	1.12E-17	3.53E-15
regulation of nucleic acid-templated transcription (GO:1903506)	3475	1751	1393.54	+	1.26	1.67E-17	5.08E-15
regulation of transcription, DNA-templated (GO:0006355)	3474	1750	1393.14	+	1.26	1.67E-17	5.17E-15
regulation of RNA biosynthetic process (GO:2001141)	3480	1753	1395.55	+	1.26	1.74E-17	5.18E-15
organelle organization (GO:0006996)	3567	1789	1430.44	+	1.25	2.52E-17	7.38E-15
regulation of signal transduction (GO:0009966)	3128	1592	1254.39	+	1.27	5.67E-17	1.63E-14
complement activation, classical pathway (GO:0006958)	161	6	64.56	-	.09	7.25E-17	2.05E-14
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1941	1055	778.38	+	1.36	1.26E-16	3.50E-14
regulation of gene expression (GO:0010468)	4922	2360	1973.82	+	1.20	2.59E-16	7.06E-14
positive regulation of RNA metabolic process (GO:0051254)	1773	971	711.01	+	1.37	6.77E-16	1.81E-13
negative regulation of cellular metabolic process (GO:0031324)	2613	1351	1047.86	+	1.29	7.11E-16	1.87E-13
negative regulation of nitrogen compound metabolic process (GO:0051172)	2453	1278	983.70	+	1.30	1.00E-15	2.60E-13
organonitrogen compound metabolic process (GO:1901564)	5246	2488	2103.75	+	1.18	1.22E-15	3.11E-13
protein modification process (GO:0036211)	2985	1513	1197.04	+	1.26	1.28E-15	3.16E-13
cellular protein modification process (GO:0006464)	2985	1513	1197.04	+	1.26	1.28E-15	3.21E-13
negative regulation of cellular biosynthetic process (GO:0031327)	1610	889	645.64	+	1.38	3.06E-15	7.45E-13
macromolecule modification (GO:0043412)	3211	1608	1287.67	+	1.25	3.22E-15	7.72E-13
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1540	856	617.57	+	1.39	3.40E-15	8.02E-13
negative regulation of biosynthetic process (GO:0009890)	1643	903	658.88	+	1.37	4.33E-15	1.01E-12
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	165	9	66.17	-	.14	4.52E-15	1.03E-12
protein metabolic process (GO:0019538)	4203	2034	1685.49	+	1.21	6.74E-15	1.52E-12
negative regulation of macromolecule biosynthetic process (GO:0010558)	1551	858	621.98	+	1.38	7.04E-15	1.55E-12
negative regulation of metabolic process (GO:0009892)	3095	1553	1241.16	+	1.25	7.00E-15	1.56E-12
negative regulation of macromolecule metabolic process (GO:0010605)	2880	1457	1154.94	+	1.26	9.00E-15	1.95E-12
developmental process (GO:0032502)	5797	2707	2324.71	+	1.16	9.54E-15	2.04E-12
positive regulation of transcription, DNA-templated (GO:0045893)	1628	890	652.86	+	1.36	1.97E-14	4.09E-12
positive regulation of RNA biosynthetic process (GO:1902680)	1629	890	653.26	+	1.36	2.00E-14	4.10E-12
positive regulation of nucleic acid-templated transcription (GO:1903508)	1628	890	652.86	+	1.36	1.97E-14	4.14E-12
nervous system development (GO:0007399)	2218	1156	889.46	+	1.30	3.21E-14	6.50E-12
positive regulation of macromolecule biosynthetic process (GO:0010557)	1863	995	747.10	+	1.33	3.54E-14	7.07E-12
nervous system process (GO:0050877)	1416	377	567.84	-	.66	4.50E-14	8.89E-12
regulation of developmental process (GO:0050793)	2461	1262	986.91	+	1.28	5.24E-14	1.02E-11
regulation of transcription by RNA polymerase II (GO:0006357)	2595	1320	1040.65	+	1.27	7.36E-14	1.42E-11
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1528	837	612.76	+	1.37	9.65E-14	1.84E-11
regulation of localization (GO:0032879)	2753	1388	1104.01	+	1.26	1.03E-13	1.94E-11
keratinization (GO:0031424)	227	24	91.03	-	.26	1.77E-13	3.29E-11
positive regulation of cellular biosynthetic process (GO:0031328)	1969	1035	789.61	+	1.31	2.04E-13	3.76E-11
positive regulation of biosynthetic process (GO:0009891)	2004	1049	803.64	+	1.31	3.02E-13	5.49E-11
negative regulation of RNA metabolic process (GO:0051253)	1408	775	564.64	+	1.37	4.05E-13	7.27E-11
anatomical structure development (GO:0048856)	5330	2485	2137.43	+	1.16	5.47E-13	9.71E-11
cellular response to stress (GO:0033554)	1741	926	698.18	+	1.33	6.77E-13	1.19E-10
regulation of protein metabolic process (GO:0051246)	2665	1339	1068.72	+	1.25	7.75E-13	1.35E-10
cellular localization (GO:0051641)	2985	1479	1197.04	+	1.24	8.34E-13	1.43E-10
multicellular organism development (GO:0007275)	4941	2317	1981.44	+	1.17	9.86E-13	1.68E-10
localization (GO:0051179)	5831	2690	2338.35	+	1.15	1.03E-12	1.74E-10
macromolecule localization (GO:0033036)	2496	1261	1000.95	+	1.26	1.35E-12	2.24E-10
protein localization (GO:0008104)	2063	1068	827.30	+	1.29	1.38E-12	2.28E-10
regulation of biological quality (GO:0065008)	3995	1912	1602.07	+	1.19	1.51E-12	2.47E-10
negative regulation of cell communication (GO:0010648)	1401	765	561.83	+	1.36	2.04E-12	3.29E-10
negative regulation of signaling (GO:0023057)	1405	767	563.43	+	1.36	2.16E-12	3.45E-10
negative regulation of nucleic acid-templated transcription (GO:1903507)	1299	717	520.92	+	1.38	2.33E-12	3.69E-10
negative regulation of transcription, DNA-templated (GO:0045892)	1297	716	520.12	+	1.38	2.68E-12	4.19E-10
system development (GO:0048731)	4330	2051	1736.42	+	1.18	2.82E-12	4.38E-10
negative regulation of RNA biosynthetic process (GO:1902679)	1301	717	521.73	+	1.37	2.87E-12	4.41E-10
defense response to bacterium (GO:0042742)	350	57	140.36	-	.41	2.96E-12	4.50E-10
negative regulation of signal transduction (GO:0009968)	1305	718	523.33	+	1.37	3.64E-12	5.47E-10
nucleobase-containing compound metabolic process (GO:0006139)	2705	1344	1084.76	+	1.24	7.40E-12	1.10E-09
positive regulation of transcription by RNA polymerase II (GO:0045944)	1212	671	486.04	+	1.38	9.29E-12	1.37E-09
regulation of catabolic process (GO:0009894)	1066	602	427.49	+	1.41	1.07E-11	1.56E-09
regulation of molecular function (GO:0065009)	3118	1522	1250.38	+	1.22	1.09E-11	1.58E-09
regulation of cellular protein metabolic process (GO:0032268)	2501	1251	1002.95	+	1.25	1.34E-11	1.93E-09
phagocytosis, recognition (GO:0006910)	106	4	42.51	-	.09	1.87E-11	2.67E-09
anatomical structure morphogenesis (GO:0009653)	2158	1095	865.40	+	1.27	2.79E-11	3.94E-09
immune response (GO:0006955)	2075	630	832.12	-	.76	5.61E-11	7.84E-09
cellular nitrogen compound metabolic process (GO:0034641)	3395	1630	1361.46	+	1.20	7.41E-11	1.03E-08
immunoglobulin mediated immune response (GO:0016064)	201	24	80.60	-	.30	9.19E-11	1.26E-08
heterocycle metabolic process (GO:0046483)	2891	1410	1159.35	+	1.22	1.05E-10	1.43E-08
neurogenesis (GO:0022008)	1391	743	557.82	+	1.33	1.08E-10	1.46E-08
regulation of intracellular signal transduction (GO:1902531)	1839	945	737.48	+	1.28	1.31E-10	1.75E-08
regulation of cellular catabolic process (GO:0031329)	899	513	360.52	+	1.42	1.40E-10	1.86E-08
nucleic acid metabolic process (GO:0090304)	2217	1112	889.06	+	1.25	1.49E-10	1.97E-08
cellular aromatic compound metabolic process (GO:0006725)	2937	1427	1177.79	+	1.21	1.72E-10	2.25E-08
regulation of protein modification process (GO:0031399)	1654	860	663.29	+	1.30	1.76E-10	2.28E-08
generation of neurons (GO:0048699)	1271	684	509.70	+	1.34	2.41E-10	3.10E-08
B cell mediated immunity (GO:0019724)	205	26	82.21	-	.32	2.71E-10	3.46E-08
biosynthetic process (GO:0009058)	2865	1392	1148.92	+	1.21	2.93E-10	3.70E-08
organic cyclic compound metabolic process (GO:1901360)	3182	1527	1276.04	+	1.20	4.32E-10	5.41E-08
organic substance biosynthetic process (GO:1901576)	2803	1362	1124.06	+	1.21	4.67E-10	5.82E-08
chromosome organization (GO:0051276)	1064	585	426.68	+	1.37	5.22E-10	6.45E-08
regulation of complement activation (GO:0030449)	118	8	47.32	-	.17	5.48E-10	6.71E-08
cellular biosynthetic process (GO:0044249)	2715	1323	1088.77	+	1.22	5.68E-10	6.91E-08
regulation of multicellular organismal process (GO:0051239)	2673	1304	1071.93	+	1.22	6.33E-10	7.64E-08
positive regulation of protein metabolic process (GO:0051247)	1562	812	626.39	+	1.30	6.82E-10	8.17E-08
opsonization (GO:0008228)	72	1	28.87	-	.03	8.32E-10	9.89E-08
regulation of cell cycle (GO:0051726)	1164	629	466.79	+	1.35	8.60E-10	1.01E-07
cellular macromolecule localization (GO:0070727)	1480	773	593.51	+	1.30	9.14E-10	1.07E-07
intracellular signal transduction (GO:0035556)	1677	862	672.51	+	1.28	9.24E-10	1.07E-07
negative regulation of transcription by RNA polymerase II (GO:0000122)	906	508	363.32	+	1.40	1.02E-09	1.18E-07
keratinocyte differentiation (GO:0030216)	270	44	108.28	-	.41	1.11E-09	1.27E-07
peptidyl-amino acid modification (GO:0018193)	886	498	355.30	+	1.40	1.22E-09	1.39E-07
regulation of cell differentiation (GO:0045595)	1586	819	636.02	+	1.29	1.35E-09	1.52E-07
phosphorus metabolic process (GO:0006793)	1835	929	735.87	+	1.26	1.94E-09	2.17E-07
cellular protein localization (GO:0034613)	1470	765	589.50	+	1.30	1.96E-09	2.19E-07
regulation of catalytic activity (GO:0050790)	2433	1192	975.68	+	1.22	2.01E-09	2.22E-07
regulation of humoral immune response (GO:0002920)	142	14	56.94	-	.25	2.28E-09	2.50E-07
establishment of localization in cell (GO:0051649)	2335	1147	936.38	+	1.22	2.82E-09	3.08E-07
regulation of organelle organization (GO:0033043)	1208	644	484.43	+	1.33	2.93E-09	3.18E-07
innate immune response (GO:0045087)	848	223	340.06	-	.66	3.50E-09	3.73E-07
chromatin organization (GO:0006325)	703	407	281.92	+	1.44	3.48E-09	3.74E-07
regulation of transport (GO:0051049)	1772	897	710.61	+	1.26	3.75E-09	3.98E-07
cellular component biogenesis (GO:0044085)	2754	1328	1104.41	+	1.20	3.86E-09	4.07E-07
phosphate-containing compound metabolic process (GO:0006796)	1808	913	725.04	+	1.26	3.89E-09	4.07E-07
lymphocyte mediated immunity (GO:0002449)	259	43	103.86	-	.41	4.03E-09	4.19E-07
embryo development (GO:0009790)	991	542	397.41	+	1.36	4.21E-09	4.35E-07
cellular component assembly (GO:0022607)	2494	1214	1000.14	+	1.21	4.58E-09	4.70E-07
B cell receptor signaling pathway (GO:0050853)	129	12	51.73	-	.23	5.86E-09	5.98E-07
regulation of cell projection organization (GO:0031344)	648	379	259.86	+	1.46	5.99E-09	6.06E-07
positive regulation of cellular protein metabolic process (GO:0032270)	1474	760	591.10	+	1.29	7.40E-09	7.45E-07
defense response to other organism (GO:0098542)	1038	289	416.26	-	.69	8.21E-09	8.21E-07
establishment of protein localization (GO:0045184)	1397	722	560.22	+	1.29	1.40E-08	1.39E-06
positive regulation of cellular component organization (GO:0051130)	1161	615	465.58	+	1.32	1.41E-08	1.40E-06
establishment of localization (GO:0051234)	4631	2117	1857.12	+	1.14	1.48E-08	1.46E-06
regulation of plasma membrane bounded cell projection organization (GO:0120035)	631	367	253.04	+	1.45	1.63E-08	1.59E-06
regulation of response to stimulus (GO:0048583)	4306	1979	1726.79	+	1.15	1.76E-08	1.70E-06
positive regulation of signaling (GO:0023056)	1761	878	706.20	+	1.24	4.47E-08	4.31E-06
intracellular transport (GO:0046907)	1464	746	587.09	+	1.27	4.58E-08	4.39E-06
enzyme linked receptor protein signaling pathway (GO:0007167)	723	406	289.94	+	1.40	4.99E-08	4.75E-06
system process (GO:0003008)	2057	656	824.90	-	.80	5.08E-08	4.81E-06
tube development (GO:0035295)	856	468	343.27	+	1.36	5.76E-08	5.42E-06
defense response (GO:0006952)	1426	431	571.85	-	.75	5.94E-08	5.56E-06
mitotic cell cycle process (GO:1903047)	675	382	270.69	+	1.41	7.22E-08	6.71E-06
positive regulation of cell communication (GO:0010647)	1755	872	703.79	+	1.24	7.92E-08	7.32E-06
mitotic cell cycle (GO:0000278)	750	417	300.76	+	1.39	8.02E-08	7.33E-06
covalent chromatin modification (GO:0016569)	367	232	147.17	+	1.58	8.01E-08	7.36E-06
cellular macromolecule catabolic process (GO:0044265)	925	498	370.94	+	1.34	8.28E-08	7.48E-06
cellular response to DNA damage stimulus (GO:0006974)	793	437	318.01	+	1.37	8.24E-08	7.49E-06
cell development (GO:0048468)	1646	824	660.08	+	1.25	8.37E-08	7.52E-06
positive regulation of molecular function (GO:0044093)	1618	811	648.85	+	1.25	8.68E-08	7.75E-06
regulation of phosphorus metabolic process (GO:0051174)	1578	793	632.81	+	1.25	9.26E-08	8.18E-06
regulation of phosphate metabolic process (GO:0019220)	1578	793	632.81	+	1.25	9.26E-08	8.22E-06
protein transport (GO:0015031)	1300	668	521.33	+	1.28	9.98E-08	8.76E-06
central nervous system development (GO:0007417)	1000	532	401.02	+	1.33	1.02E-07	8.84E-06
regulation of protein localization (GO:0032880)	894	483	358.51	+	1.35	1.01E-07	8.85E-06
regulation of phosphorylation (GO:0042325)	1391	709	557.82	+	1.27	1.03E-07	8.93E-06
cell projection organization (GO:0030030)	1221	632	489.65	+	1.29	1.05E-07	8.99E-06
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	269	51	107.87	-	.47	1.39E-07	1.19E-05
histone modification (GO:0016570)	363	228	145.57	+	1.57	1.43E-07	1.22E-05
regulation of transferase activity (GO:0051338)	1033	545	414.25	+	1.32	1.53E-07	1.29E-05
neuron differentiation (GO:0030182)	1043	549	418.26	+	1.31	1.72E-07	1.44E-05
cellular developmental process (GO:0048869)	3634	1677	1457.31	+	1.15	1.71E-07	1.44E-05
response to bacterium (GO:0009617)	721	193	289.14	-	.67	1.80E-07	1.50E-05
cell cycle (GO:0007049)	1316	672	527.74	+	1.27	1.99E-07	1.65E-05
transport (GO:0006810)	4476	2030	1794.96	+	1.13	2.10E-07	1.72E-05
nucleobase-containing compound biosynthetic process (GO:0034654)	975	517	390.99	+	1.32	2.17E-07	1.78E-05
phagocytosis, engulfment (GO:0006911)	132	16	52.93	-	.30	2.19E-07	1.78E-05
macromolecule biosynthetic process (GO:0009059)	1680	833	673.71	+	1.24	2.25E-07	1.82E-05
macromolecule catabolic process (GO:0009057)	1058	554	424.28	+	1.31	2.38E-07	1.92E-05
response to organic substance (GO:0010033)	3008	1408	1206.27	+	1.17	2.50E-07	2.01E-05
phosphorylation (GO:0016310)	877	470	351.69	+	1.34	3.36E-07	2.67E-05
regulation of cell death (GO:0010941)	1668	825	668.90	+	1.23	3.35E-07	2.67E-05
regulation of cellular component biogenesis (GO:0044087)	974	514	390.59	+	1.32	3.38E-07	2.67E-05
cellular macromolecule biosynthetic process (GO:0034645)	1639	812	657.27	+	1.24	3.48E-07	2.73E-05
regulation of mitotic cell cycle (GO:0007346)	588	334	235.80	+	1.42	3.71E-07	2.91E-05
heterocycle biosynthetic process (GO:0018130)	1049	548	420.67	+	1.30	3.84E-07	2.99E-05
regulation of anatomical structure morphogenesis (GO:0022603)	967	510	387.79	+	1.32	4.18E-07	3.24E-05
positive regulation of signal transduction (GO:0009967)	1584	787	635.22	+	1.24	4.29E-07	3.29E-05
cellular protein catabolic process (GO:0044257)	644	360	258.26	+	1.39	4.28E-07	3.30E-05
protein catabolic process (GO:0030163)	697	385	279.51	+	1.38	4.44E-07	3.35E-05
immunoglobulin production (GO:0002377)	138	18	55.34	-	.33	4.42E-07	3.36E-05
regulation of neuron projection development (GO:0010975)	447	266	179.26	+	1.48	4.41E-07	3.37E-05
cellular nitrogen compound biosynthetic process (GO:0044271)	1553	772	622.78	+	1.24	4.95E-07	3.72E-05
peptide cross-linking (GO:0018149)	102	10	40.90	-	.24	5.08E-07	3.78E-05
regulation of multicellular organismal development (GO:2000026)	1332	674	534.16	+	1.26	5.06E-07	3.79E-05
plasma membrane bounded cell projection organization (GO:0120036)	1175	603	471.20	+	1.28	5.29E-07	3.92E-05
cell differentiation (GO:0030154)	3575	1643	1433.65	+	1.15	5.44E-07	4.02E-05
nitrogen compound transport (GO:0071705)	1708	839	684.94	+	1.22	6.20E-07	4.50E-05
epidermal cell differentiation (GO:0009913)	322	69	129.13	-	.53	6.14E-07	4.50E-05
positive regulation of protein modification process (GO:0031401)	1079	559	432.70	+	1.29	6.12E-07	4.50E-05
production of molecular mediator of immune response (GO:0002440)	141	19	56.54	-	.34	6.18E-07	4.50E-05
response to external biotic stimulus (GO:0043207)	1426	442	571.85	-	.77	6.37E-07	4.59E-05
regulation of programmed cell death (GO:0043067)	1532	761	614.36	+	1.24	6.89E-07	4.95E-05
response to other organism (GO:0051707)	1425	442	571.45	-	.77	7.22E-07	5.16E-05
organic cyclic compound biosynthetic process (GO:1901362)	1196	611	479.62	+	1.27	7.37E-07	5.25E-05
aromatic compound biosynthetic process (GO:0019438)	1060	549	425.08	+	1.29	7.68E-07	5.44E-05
proteolysis involved in cellular protein catabolic process (GO:0051603)	609	341	244.22	+	1.40	7.94E-07	5.60E-05
positive regulation of catabolic process (GO:0009896)	519	298	208.13	+	1.43	8.66E-07	6.09E-05
regulation of mitotic cell cycle phase transition (GO:1901990)	434	257	174.04	+	1.48	8.95E-07	6.26E-05
head development (GO:0060322)	803	431	322.02	+	1.34	9.55E-07	6.65E-05
regulation of growth (GO:0040008)	661	365	265.07	+	1.38	9.66E-07	6.70E-05
regulation of cell cycle process (GO:0010564)	792	425	317.61	+	1.34	1.13E-06	7.78E-05
regulation of cellular localization (GO:0060341)	841	447	337.26	+	1.33	1.35E-06	9.26E-05
animal organ development (GO:0048513)	3220	1485	1291.28	+	1.15	1.35E-06	9.26E-05
modification-dependent macromolecule catabolic process (GO:0043632)	563	317	225.77	+	1.40	1.43E-06	9.75E-05
brain development (GO:0007420)	759	408	304.37	+	1.34	1.58E-06	1.07E-04
modification-dependent protein catabolic process (GO:0019941)	552	311	221.36	+	1.40	1.68E-06	1.13E-04
tube morphogenesis (GO:0035239)	654	359	262.27	+	1.37	1.71E-06	1.15E-04
regulation of protein phosphorylation (GO:0001932)	1218	616	488.44	+	1.26	1.73E-06	1.16E-04
ubiquitin-dependent protein catabolic process (GO:0006511)	545	308	218.56	+	1.41	1.76E-06	1.17E-04
cytoskeleton organization (GO:0007010)	1212	613	486.04	+	1.26	1.87E-06	1.24E-04
organic substance transport (GO:0071702)	2079	993	833.72	+	1.19	2.01E-06	1.33E-04
regulation of kinase activity (GO:0043549)	914	478	366.53	+	1.30	2.06E-06	1.36E-04
protein modification by small protein conjugation or removal (GO:0070647)	1035	532	415.06	+	1.28	2.38E-06	1.56E-04
antimicrobial humoral response (GO:0019730)	154	24	61.76	-	.39	2.45E-06	1.60E-04
protein-containing complex subunit organization (GO:0043933)	1605	785	643.64	+	1.22	2.54E-06	1.65E-04
positive regulation of transport (GO:0051050)	947	492	379.77	+	1.30	2.56E-06	1.66E-04
regulation of apoptotic process (GO:0042981)	1493	735	598.72	+	1.23	2.77E-06	1.79E-04
regulation of cellular protein localization (GO:1903827)	561	313	224.97	+	1.39	2.84E-06	1.83E-04
negative regulation of cellular component organization (GO:0051129)	724	389	290.34	+	1.34	2.96E-06	1.89E-04
neuron development (GO:0048666)	846	445	339.26	+	1.31	3.03E-06	1.93E-04
positive regulation of cell projection organization (GO:0031346)	353	213	141.56	+	1.50	3.10E-06	1.96E-04
cellular catabolic process (GO:0044248)	1812	874	726.65	+	1.20	3.10E-06	1.97E-04
protein phosphorylation (GO:0006468)	685	371	274.70	+	1.35	3.22E-06	2.03E-04
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	522	294	209.33	+	1.40	3.40E-06	2.13E-04
positive regulation of developmental process (GO:0051094)	1271	635	509.70	+	1.25	3.86E-06	2.41E-04
positive regulation of catalytic activity (GO:0043085)	1240	621	497.26	+	1.25	3.89E-06	2.42E-04
chordate embryonic development (GO:0043009)	613	336	245.83	+	1.37	4.05E-06	2.51E-04
negative regulation of cell death (GO:0060548)	1008	517	404.23	+	1.28	4.14E-06	2.56E-04
regulation of cellular response to stress (GO:0080135)	692	373	277.51	+	1.34	4.18E-06	2.57E-04
cell cycle process (GO:0022402)	957	494	383.78	+	1.29	4.33E-06	2.65E-04
peptidyl-lysine modification (GO:0018205)	305	188	122.31	+	1.54	4.47E-06	2.73E-04
regulation of cell cycle phase transition (GO:1901987)	522	293	209.33	+	1.40	4.87E-06	2.96E-04
regulation of cell population proliferation (GO:0042127)	1654	802	663.29	+	1.21	5.27E-06	3.19E-04
embryo development ending in birth or egg hatching (GO:0009792)	633	344	253.85	+	1.36	5.52E-06	3.32E-04
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	102	12	40.90	-	.29	5.51E-06	3.33E-04
neuron projection development (GO:0031175)	691	371	277.10	+	1.34	5.66E-06	3.39E-04
negative regulation of response to stimulus (GO:0048585)	1831	878	734.27	+	1.20	5.77E-06	3.44E-04
RNA metabolic process (GO:0016070)	1582	769	634.41	+	1.21	6.04E-06	3.59E-04
cellular response to organic substance (GO:0071310)	2344	1099	939.99	+	1.17	6.14E-06	3.64E-04
cell morphogenesis (GO:0000902)	715	381	286.73	+	1.33	6.70E-06	3.95E-04
response to abiotic stimulus (GO:0009628)	1175	589	471.20	+	1.25	7.14E-06	4.19E-04
plasma membrane invagination (GO:0099024)	141	22	56.54	-	.39	7.32E-06	4.29E-04
